time v28 v30 
0.000175 0.0 -3.0361333437931286
0.00035 0.8910065241883678 -2.9534524573002194
0.000525 0.8090169943749475 -2.873268035538862
0.0007 -0.15643446504023029 -2.7957508840824272
0.000875 -0.9510565162951534 -2.7183508218816304
0.00105 -0.7071067811865477 -2.6381983018992123
0.001225 0.30901699437494634 -2.555723928535298
0.0014 0.9876883405951375 -2.474199200101186
0.001575 0.5877852522924734 -2.3960096302698015
0.00175 -0.45399049973954564 -2.3204128272228455
0.001925 -1.0 -2.243849655898718
0.0021 -0.4539904997395481 -2.1636065258262396
0.002275 0.5877852522924711 -2.0815290493719116
0.00245 0.987688340595138 -2.001699823937048
0.002625 0.30901699437494967 -1.9260821591340496
0.0028 -0.7071067811865477 -1.852708927333465
0.0029749999999999998 -0.9510565162951539 -1.776842484266393
0.00315 -0.1564344650402325 -1.6964054697760957
0.003325 0.8090169943749459 -1.615133536337026
0.0035 0.8910065241883695 -1.5378054340839595
0.003675 8.881784197001252e-16 -1.4656675107289372
0.00385 -0.8910065241883669 -1.3950206183854799
0.004025 -0.809016994374949 -1.3196460143560005
0.0042 0.1564344650402273 -1.2389318140704777
0.0043749999999999995 0.9510565162951522 -1.15916848037506
0.00455 0.7071067811865515 -1.0857356842635517
0.004725 -0.3090169943749447 -1.0188323239369461
0.0049 -0.9876883405951371 -0.9519556427556717
0.005075 -0.5877852522924771 -0.8766634054219251
0.00525 0.45399049973954175 -0.7955477677784539
0.005425 1.0 -0.7186764599655648
0.0056 0.4539904997395472 -0.6522385977546914
0.005775 -0.587785252292472 -0.5952330643741941
0.0059499999999999996 -0.9876883405951381 -0.5351029875040254
0.006125 -0.30901699437495045 -0.4584023260411937
0.0063 0.7071067811865446 -0.37634176895645616
0.006475 0.9510565162951552 -0.3061073407854362
0.00665 0.1564344650402368 -0.25759957362554
0.006825 -0.8090169943749433 -0.23378817823440234
0.007 -0.8910065241883682 -0.19556976084985406
